content_length,follower_count,ER,hour,description_score,hashtag_count,hashtag_quality_score,day_sin,day_cos,content_type_mixed,content_type_text,content_type_video
41,234253.0,0.05102175852603809,11,0.365,5.0,0.364,0.43388373911755823,-0.900968867902419,0,0,1
75,971017.0,0.012295356311990418,12,0.307,2.0,0.2,0.43388373911755823,-0.900968867902419,0,1,0
117,639822.0,0.018758342163914338,13,0.298,3.0,0.336,0.43388373911755823,-0.900968867902419,0,0,1
58,659637.0,0.018340390244937745,14,0.138,4.0,0.303,0.43388373911755823,-0.900968867902419,0,0,0
185,267915.0,0.0451001250396581,14,0.124,0.0,0.0,0.43388373911755823,-0.900968867902419,0,0,1
170,731599.0,0.01652407944789427,17,0.304,0.0,0.0,0.43388373911755823,-0.900968867902419,0,0,1
505,569911.0,0.02124366787094827,17,0.163,1.0,0.153,0.43388373911755823,-0.900968867902419,0,1,0
102,289656.0,0.042011903775513025,19,0.394,4.0,0.303,0.43388373911755823,-0.900968867902419,1,0,0
17,358002.0,0.03391601164239306,20,0.223,4.0,0.303,0.43388373911755823,-0.900968867902419,0,0,1
260,936085.0,0.012945405598850532,22,0.124,2.0,0.193,0.43388373911755823,-0.900968867902419,0,1,0
64,67710.0,0.1828533451484271,23,0.152,1.0,0.367,0.43388373911755823,-0.900968867902419,0,0,1
160,193682.0,0.06311376379839118,0,0.329,3.0,0.342,-0.433883739117558,-0.9009688679024191,0,0,1
424,967732.0,0.012435261002012954,1,0.347,4.0,0.303,-0.433883739117558,-0.9009688679024191,0,0,1
84,470693.0,0.02596809385310595,1,0.291,0.0,0.0,-0.433883739117558,-0.9009688679024191,0,0,1
127,896350.0,0.013308417470854018,2,0.17,4.0,0.3,-0.433883739117558,-0.9009688679024191,0,0,1
102,987473.0,0.012222106325945115,4,0.144,2.0,0.313,-0.433883739117558,-0.9009688679024191,0,0,1
362,673065.0,0.017923974653265288,5,0.472,3.0,0.229,-0.433883739117558,-0.9009688679024191,0,0,1
590,427612.0,0.028280310187740288,6,0.312,3.0,0.34,-0.433883739117558,-0.9009688679024191,0,0,0
447,325404.0,0.036874162579439713,8,0.276,1.0,0.113,-0.433883739117558,-0.9009688679024191,0,0,1
163,147854.0,0.08154666089520743,9,0.253,0.0,0.0,-0.433883739117558,-0.9009688679024191,1,0,0
598,175800.0,0.06803185437997725,10,0.341,4.0,0.31,-0.433883739117558,-0.9009688679024191,1,0,0
150,97124.0,0.12536551212882502,12,0.373,1.0,0.127,-0.433883739117558,-0.9009688679024191,0,0,1
203,709169.0,0.017266688194210407,12,0.239,0.0,0.0,-0.433883739117558,-0.9009688679024191,0,1,0
281,471027.0,0.025703409783303294,13,0.334,5.0,0.377,-0.433883739117558,-0.9009688679024191,0,0,1
466,127113.0,0.09626867432914021,14,0.398,5.0,0.353,-0.433883739117558,-0.9009688679024191,0,0,1
95,771013.0,0.015558751927658807,17,0.153,5.0,0.471,-0.433883739117558,-0.9009688679024191,1,0,0
198,222981.0,0.054349922190679925,19,0.392,1.0,0.127,-0.433883739117558,-0.9009688679024191,0,0,1
312,954197.0,0.013011988090509612,21,0.219,4.0,0.37,-0.433883739117558,-0.9009688679024191,0,0,1
527,35207.0,0.34081290652427076,21,0.353,4.0,0.3,-0.433883739117558,-0.9009688679024191,0,0,1
200,728110.0,0.016615621266017497,0,0.264,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0,0,1
182,167993.0,0.07186013702951909,0,0.321,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0,0,1
189,795047.0,0.015547508512075387,1,0.296,3.0,0.238,-0.9749279121818236,-0.2225209339563146,0,0,0
162,866989.0,0.014091297582783635,4,0.229,2.0,0.433,-0.9749279121818236,-0.2225209339563146,0,0,1
12,903515.0,0.013267073595900455,4,0.22,1.0,0.153,-0.9749279121818236,-0.2225209339563146,0,0,1
118,493217.0,0.02446995947017236,5,0.234,3.0,0.247,-0.9749279121818236,-0.2225209339563146,0,0,1
88,262830.0,0.04575581174142982,6,0.164,1.0,0.153,-0.9749279121818236,-0.2225209339563146,0,0,0
546,994789.0,0.01221565578228147,7,0.359,1.0,0.14,-0.9749279121818236,-0.2225209339563146,0,0,0
13,97126.0,0.12493050264604741,9,0.298,4.0,0.452,-0.9749279121818236,-0.2225209339563146,0,0,1
157,312902.0,0.038695821694971586,11,0.19,1.0,0.153,-0.9749279121818236,-0.2225209339563146,0,0,0
98,569719.0,0.021393002515275074,12,0.256,2.0,0.187,-0.9749279121818236,-0.2225209339563146,0,0,1
179,336145.0,0.036751996906097074,12,0.348,2.0,0.18,-0.9749279121818236,-0.2225209339563146,0,0,1
516,761820.0,0.015862014649129716,12,0.539,3.0,0.251,-0.9749279121818236,-0.2225209339563146,0,0,0
226,903211.0,0.013638009280223557,13,0.28,1.0,0.153,-0.9749279121818236,-0.2225209339563146,0,0,1
430,91224.0,0.13351749539594843,13,0.235,2.0,0.32,-0.9749279121818236,-0.2225209339563146,0,0,1
31,164406.0,0.07280756176781869,15,0.306,1.0,0.14,-0.9749279121818236,-0.2225209339563146,0,0,1
558,257603.0,0.04669588475289496,17,0.226,3.0,0.264,-0.9749279121818236,-0.2225209339563146,1,0,0
44,30247.0,0.3988164115449466,19,0.261,5.0,0.415,-0.9749279121818236,-0.2225209339563146,0,0,1
385,823083.0,0.01479802158470045,22,0.211,2.0,0.193,-0.9749279121818236,-0.2225209339563146,0,0,1
75,47712.0,0.2520749496981891,1,0.245,1.0,0.153,-0.7818314824680299,0.6234898018587334,1,0,0
565,771036.0,0.01569187430937077,3,0.308,0.0,0.0,-0.7818314824680299,0.6234898018587334,0,0,1
472,635417.0,0.01898280971393589,4,0.324,0.0,0.0,-0.7818314824680299,0.6234898018587334,0,1,0
189,502298.0,0.02423461769706429,4,0.16,4.0,0.417,-0.7818314824680299,0.6234898018587334,0,0,1
124,961553.0,0.012566130000114398,6,0.344,0.0,0.0,-0.7818314824680299,0.6234898018587334,0,0,1
57,351289.0,0.03472639336842315,8,0.255,0.0,0.0,-0.7818314824680299,0.6234898018587334,0,0,1
165,424029.0,0.028439092609231914,10,0.121,4.0,0.37,-0.7818314824680299,0.6234898018587334,0,0,1
68,920340.0,0.013228806745333246,10,0.299,4.0,0.313,-0.7818314824680299,0.6234898018587334,0,0,0
88,231396.0,0.05245985237428478,14,0.311,3.0,0.233,-0.7818314824680299,0.6234898018587334,0,0,1
218,890971.0,0.013576199449813742,16,0.2,1.0,0.113,-0.7818314824680299,0.6234898018587334,0,0,1
28,545744.0,0.022153244011844382,17,0.185,4.0,0.307,-0.7818314824680299,0.6234898018587334,0,0,1
436,885374.0,0.013647339994171954,17,0.138,3.0,0.251,-0.7818314824680299,0.6234898018587334,0,0,1
459,649853.0,0.01864421646126124,17,0.205,3.0,0.34,-0.7818314824680299,0.6234898018587334,0,0,0
291,634698.0,0.01917920018654541,18,0.185,4.0,0.31,-0.7818314824680299,0.6234898018587334,0,0,1
36,13455.0,0.902118171683389,19,0.3,1.0,0.127,-0.7818314824680299,0.6234898018587334,0,0,1
73,986057.0,0.01215142735156284,19,0.381,4.0,0.44,-0.7818314824680299,0.6234898018587334,0,0,1
375,903128.0,0.013480924077207218,21,0.255,0.0,0.0,-0.7818314824680299,0.6234898018587334,0,0,1
213,127590.0,0.09590093267497453,21,0.275,2.0,0.313,-0.7818314824680299,0.6234898018587334,0,0,1
154,753121.0,0.016229795743313492,21,0.117,1.0,0.127,-0.7818314824680299,0.6234898018587334,1,0,0
540,82909.0,0.14490586064239105,22,0.178,4.0,0.433,-0.7818314824680299,0.6234898018587334,0,0,1
248,281914.0,0.04286058869016792,22,0.319,1.0,0.667,-0.7818314824680299,0.6234898018587334,0,0,1
366,70201.0,0.17031096423127876,1,0.177,0.0,0.0,0.0,1.0,0,0,0
121,567198.0,0.021366436411976063,3,0.364,0.0,0.0,0.0,1.0,0,0,1
220,677346.0,0.01777673449020146,5,0.263,1.0,0.1,0.0,1.0,0,1,0
40,671908.0,0.01801585931407276,6,0.212,1.0,0.14,0.0,1.0,1,0,0
188,586385.0,0.02056839789558055,6,0.091,1.0,0.113,0.0,1.0,0,0,1
43,641831.0,0.01913587844775338,10,0.282,2.0,0.18,0.0,1.0,0,1,0
487,300044.0,0.039927477303328844,12,0.322,5.0,0.415,0.0,1.0,0,1,0
145,114705.0,0.10552286299638203,13,0.285,4.0,0.36,0.0,1.0,0,1,0
170,245045.0,0.049346038482727665,13,0.315,1.0,0.367,0.0,1.0,0,1,0
110,854642.0,0.014088940164419722,16,0.18,2.0,0.333,0.0,1.0,0,0,1
17,224530.0,0.054447067207054736,16,0.268,1.0,0.14,0.0,1.0,1,0,0
366,410914.0,0.02925429651946636,17,0.217,4.0,0.363,0.0,1.0,0,0,1
482,917212.0,0.013234672027840892,18,0.327,0.0,0.0,0.0,1.0,0,0,1
480,198645.0,0.06025321553525133,18,0.199,3.0,0.331,0.0,1.0,1,0,0
126,102817.0,0.11841427001371368,22,0.2,3.0,0.242,0.0,1.0,0,0,1
275,226398.0,0.05341036581595244,0,0.258,3.0,0.42,0.7818314824680298,0.6234898018587336,0,0,1
386,899687.0,0.013289066086316685,1,0.249,5.0,0.364,0.7818314824680298,0.6234898018587336,0,0,1
129,680113.0,0.017760283952813722,3,0.167,0.0,0.0,0.7818314824680298,0.6234898018587336,0,0,0
559,572883.0,0.0209065376350843,4,0.213,4.0,0.307,0.7818314824680298,0.6234898018587336,0,0,1
10,590805.0,0.02060070581664001,5,0.307,3.0,0.331,0.7818314824680298,0.6234898018587336,0,0,0
157,427800.0,0.02830060776063581,6,0.252,5.0,0.412,0.7818314824680298,0.6234898018587336,0,0,1
213,925852.0,0.012851946099376574,8,0.356,2.0,0.187,0.7818314824680298,0.6234898018587336,0,0,1
156,653690.0,0.01821964539766556,9,0.254,4.0,0.367,0.7818314824680298,0.6234898018587336,0,0,1
86,99556.0,0.12214231186467918,10,0.268,2.0,0.173,0.7818314824680298,0.6234898018587336,0,0,0
71,228615.0,0.052743695733000896,10,0.343,1.0,0.14,0.7818314824680298,0.6234898018587336,0,0,1
154,129946.0,0.09267695812106568,15,0.363,4.0,0.435,0.7818314824680298,0.6234898018587336,0,0,1
150,535135.0,0.02245227839704,17,0.293,4.0,0.38,0.7818314824680298,0.6234898018587336,0,0,1
163,313435.0,0.038882064861933095,19,0.331,1.0,0.153,0.7818314824680298,0.6234898018587336,0,0,1
449,770469.0,0.01567876189697444,22,0.27,0.0,0.0,0.7818314824680298,0.6234898018587336,0,0,1
78,447358.0,0.026690033485485896,22,0.188,1.0,0.367,0.7818314824680298,0.6234898018587336,0,0,1
591,908162.0,0.0134183108300061,23,0.202,3.0,0.251,0.7818314824680298,0.6234898018587336,0,0,1
385,378715.0,0.03231189680894604,1,0.125,4.0,0.46,0.9749279121818236,-0.22252093395631434,0,0,1
566,282320.0,0.04267497874752054,2,0.164,2.0,0.16,0.9749279121818236,-0.22252093395631434,1,0,0
248,901070.0,0.013142153217841011,3,0.293,1.0,0.367,0.9749279121818236,-0.22252093395631434,0,0,1
445,890482.0,0.013372533077591685,5,0.364,3.0,0.233,0.9749279121818236,-0.22252093395631434,0,0,1
181,929440.0,0.012924987088999827,5,0.156,4.0,0.297,0.9749279121818236,-0.22252093395631434,0,0,1
510,331345.0,0.03630656868218926,5,0.26,4.0,0.363,0.9749279121818236,-0.22252093395631434,0,0,1
160,820375.0,0.01457626085631571,6,0.351,5.0,0.417,0.9749279121818236,-0.22252093395631434,0,0,1
45,549231.0,0.022414976576340374,12,0.272,2.0,0.2,0.9749279121818236,-0.22252093395631434,0,0,0
483,712820.0,0.01683594736399091,13,0.27,5.0,0.473,0.9749279121818236,-0.22252093395631434,0,0,1
205,846255.0,0.014444818642135053,14,0.35,1.0,0.153,0.9749279121818236,-0.22252093395631434,0,0,1
278,992660.0,0.012243870005842887,16,0.198,2.0,0.173,0.9749279121818236,-0.22252093395631434,1,0,0
337,316666.0,0.03799586946498835,17,0.273,4.0,0.307,0.9749279121818236,-0.22252093395631434,0,1,0
149,86119.0,0.13985299411279742,18,0.341,5.0,0.356,0.9749279121818236,-0.22252093395631434,0,0,1
179,477962.0,0.025615007050769727,23,0.329,2.0,0.167,0.9749279121818236,-0.22252093395631434,0,0,1
169,597013.0,0.019887339136668715,2,0.308,3.0,0.411,0.43388373911755823,-0.900968867902419,0,0,1
280,745355.0,0.01615874314923761,3,0.336,2.0,0.2,0.43388373911755823,-0.900968867902419,0,0,1
50,425625.0,0.028029368575624082,4,0.453,5.0,0.455,0.43388373911755823,-0.900968867902419,0,0,0
496,900731.0,0.013470170339424312,5,0.161,0.0,0.0,0.43388373911755823,-0.900968867902419,0,0,1
181,401016.0,0.030255650647355716,9,0.185,5.0,0.425,0.43388373911755823,-0.900968867902419,0,0,1
80,79987.0,0.15094952929851102,11,-0.04,0.0,0.0,0.43388373911755823,-0.900968867902419,1,0,0
520,401281.0,0.030143465551571092,12,0.154,5.0,0.361,0.43388373911755823,-0.900968867902419,1,0,0
555,483470.0,0.025263201439592944,12,0.358,3.0,0.336,0.43388373911755823,-0.900968867902419,0,0,1
