,content_type,content_length,comments_count,follower_count,ER,day,hour,description_score,hashtag_count,desciption_word_count
1581,3,587,202,288969,4.1208572545844016,5,3,-0.006249999999999999,4,31
1582,3,164,199,291275,4.102652132864132,5,3,0.0,1,8
1584,3,64,214,857854,1.4264665082869579,5,3,0.0,0,10
1588,2,181,179,732971,1.640446893533305,5,5,-0.03838383838383838,1,23
1590,3,74,187,302484,4.049800981208924,5,6,0.10000000000000002,0,24
1593,3,186,225,824584,1.4589174662617757,5,9,0.17818181818181816,4,32
1596,3,426,181,105548,11.536931064539356,5,9,-0.075,1,22
1597,0,387,190,61406,19.63326059342735,5,9,-0.0642857142857143,5,34
1605,3,458,179,113079,10.684565657637581,5,10,0.1,2,26
1608,0,97,205,693348,1.7478957175905894,5,12,0.12285714285714286,0,16
1609,3,211,187,594139,1.9980172989822247,5,12,0.09126984126984128,4,6
1612,0,109,184,583027,2.0712591355117342,5,12,-0.033333333333333326,1,13
1614,0,107,194,860412,1.400375633998596,5,13,0.0,4,9
1619,0,195,166,990153,1.2161756819400638,5,13,0.33888888888888885,0,33
1626,2,483,190,516305,2.321689698918275,5,16,0.0,3,6
1629,3,75,202,657684,1.8522573150631612,5,16,-0.08854166666666667,4,27
1633,0,441,202,169580,7.208986908833589,5,16,-0.025446428571428578,2,17
1635,3,128,194,944144,1.2869858835092953,5,17,-0.15625,3,19
1639,3,336,188,476589,2.598675168751272,5,18,0.12023809523809524,3,31
1644,3,61,199,459027,2.629257102523381,5,19,0.03333333333333333,3,9
1645,0,299,214,439263,2.7812495020067702,5,19,-0.02361111111111111,2,26
1649,0,167,228,344527,3.5512456208076584,5,19,0.06999999999999999,3,18
1662,3,84,179,119920,10.042528352234823,5,23,-0.049999999999999996,4,20
1667,0,454,199,485775,2.497658380937677,6,0,0.175,0,17
1672,3,60,191,158475,7.540621549140243,6,1,-0.35,1,15
1673,0,56,182,436722,2.7811742939444315,6,1,-0.017857142857142856,2,20
1687,3,199,186,178367,6.853285641402278,6,3,0.0,3,21
1706,1,141,218,381613,3.1262037718840814,6,10,0.21428571428571427,2,11
1707,3,546,198,233080,5.208941136090613,6,10,-0.18,5,15
1708,3,282,188,886543,1.3835764311488559,6,10,0.16041666666666665,2,25
1711,3,155,224,604584,1.9959178542601195,6,10,-0.07583333333333332,1,32
1721,2,528,204,906486,1.3372517611965327,6,14,0.0,5,11
1731,2,384,223,509484,2.3680822165171036,6,18,0.0,4,30
1743,1,474,213,709732,1.7040234905569989,6,23,-0.09629629629629628,2,22
1744,3,160,192,611594,2.000183128022839,6,23,0.12666666666666665,5,26
1750,3,91,167,689362,1.7677214583919625,4,1,0.125,3,7
1752,3,383,214,136516,8.952064226903806,4,2,0.23316326530612244,3,33
1763,0,163,203,661825,1.8541155139198426,4,4,0.0,3,22
1774,3,65,215,383055,3.171085092219133,4,7,0.3,0,10
1782,1,504,199,230696,5.286177480320422,4,9,0.0,4,18
1790,0,590,211,712685,1.692051888281639,4,13,0.0,5,12
1791,1,172,196,822892,1.4724897070332437,4,13,0.09999999999999999,3,10
1794,0,355,189,599988,2.0328739908131497,4,14,-0.12111111111111113,3,18
1796,1,457,190,545649,2.1885864356023745,4,15,-0.205952380952381,5,17
1799,3,125,175,756303,1.5856078846705617,4,16,0.1825,5,24
1811,3,210,213,216059,5.615132903512467,4,19,0.315,5,17
1817,3,107,186,510668,2.3543672209733133,4,22,-0.15,4,11
1826,0,142,193,290785,4.121257974104578,0,2,0.0,1,14
1827,0,148,207,459740,2.591029712446165,0,3,0.26666666666666666,1,13
1829,3,465,199,361024,3.3296955327069666,0,3,0.1869047619047619,0,25
1832,3,274,197,719110,1.678880838814646,0,4,0.2833333333333333,1,15
1839,3,41,196,433041,2.7962710228361747,0,6,0.03280303030303031,0,28
1840,3,56,199,905010,1.3356758488856475,0,7,0.0,5,13
1848,3,113,202,793715,1.5143974852434439,0,10,0.16666666666666666,0,18
1849,0,31,214,964508,1.2604353722312307,0,10,0.375,2,13
1851,0,337,199,174684,6.879279155503652,0,10,-0.03416666666666667,1,16
1856,2,19,218,647327,1.874168696810113,0,12,0.16666666666666666,1,20
1866,3,166,198,951572,1.2625424035175479,0,15,0.0,1,11
1872,2,403,214,343433,3.5150961031700505,0,17,0.0,2,12
1880,3,355,208,45314,26.804078209824777,0,21,0.2222222222222222,4,18
1882,3,95,219,86300,14.36848203939745,0,21,0.26666666666666666,5,25
1883,3,151,214,255143,4.748709547195102,0,22,0.2,5,6
1893,0,452,170,80351,14.93696407014225,2,1,0.24,5,15
1904,3,17,202,625812,1.9493074597482951,2,4,0.14166666666666666,4,22
1908,3,131,242,579280,2.0869009805275516,2,6,0.0,0,17
1916,3,106,185,663016,1.8708447458281552,2,9,0.203125,4,20
1917,3,46,197,648011,1.8726533963158032,2,9,0.09999999999999999,5,14
1923,3,177,205,760650,1.5722079800170905,2,10,-0.2,2,21
1934,1,490,196,615702,1.9514310494362535,2,16,-0.012500000000000004,2,20
1939,3,94,183,112303,10.831411449382475,2,17,-0.1571428571428571,1,21
1942,0,187,189,740411,1.6461127670982738,2,18,0.11071428571428572,2,30
1943,3,52,203,885491,1.3796865241995684,2,18,-0.10625,5,12
1945,3,382,196,804535,1.50757891204236,2,19,0.3238095238095238,5,7
1946,3,114,183,312323,3.9427131527297066,2,20,0.16,0,12
1947,2,259,219,422073,2.8724888822549652,2,21,0.10416666666666667,2,30
1951,0,197,196,652501,1.8662040364689096,2,22,0.05,0,15
1953,3,257,172,353214,3.368779266959973,2,22,-0.16666666666666666,3,8
1957,3,374,183,401613,3.040489227191351,3,0,0.010416666666666666,2,33
1961,1,393,214,871340,1.4163242821401518,3,0,-0.05,3,22
